city_name,country,location_id,num_users,avg_age,std_age,min_age,max_age,admin_ratio,description,region,desc_length,is_touristique,is_capitale,is_historique,is_moderne,visiteurs
Aalborg,Danemark,1147,1,52.0,0.0,52,52,0.0,"Ville industrielle, connue pour son port et ses festivals.",Europe_Nord,58.0,0,0,0,0,782
Aalborg-Est,Danemark,1849,2,34.5,0.7071067811865476,34,35,0.0,"Ville industrielle, connue pour son port et ses festivals. (quartier-Est)",Europe_Nord,73.0,0,0,0,0,1365
Aarhus-Nord,Danemark,1379,1,26.0,0.0,26,26,0.0,"Ville universitaire, réputée pour son musée d’art moderne. (quartier-Nord)",Europe_Nord,74.0,1,0,0,1,2200
Aarhus-Sud,Danemark,1613,2,43.5,21.920310216782973,28,59,0.0,"Ville universitaire, réputée pour son musée d’art moderne. (quartier-Sud)",Europe_Nord,73.0,1,0,0,1,1700
Abu Dhabi,Émirats arabes unis,1234,3,36.333333333333336,16.441816606851365,24,55,0.3333333333333333,"Capitale, réputée pour ses musées et ses îles.",Moyen_Orient,46.0,1,1,0,0,1366
Abu Dhabi-Est,Émirats arabes unis,1936,2,55.5,2.1213203435596424,54,57,0.5,"Capitale, réputée pour ses musées et ses îles. (quartier-Est)",Moyen_Orient,61.0,1,1,0,0,1381
Abu Dhabi-Nord,Émirats arabes unis,1468,1,50.0,0.0,50,50,1.0,"Capitale, réputée pour ses musées et ses îles. (quartier-Nord)",Moyen_Orient,62.0,1,1,0,0,1920
Abu Dhabi-Sud,Émirats arabes unis,1702,2,22.0,4.242640687119285,19,25,1.0,"Capitale, réputée pour ses musées et ses îles. (quartier-Sud)",Moyen_Orient,61.0,1,1,0,0,1330
Abuja,Nigeria,1216,1,57.0,0.0,57,57,1.0,"Capitale, réputée pour son architecture moderne.",Afrique,48.0,1,1,0,1,1694
Abuja-Est,Nigeria,1918,1,36.0,0.0,36,36,0.0,"Capitale, réputée pour son architecture moderne. (quartier-Est)",Afrique,63.0,1,1,0,1,1351
Abuja-Sud,Nigeria,1684,3,37.66666666666666,17.21433511156714,24,57,0.6666666666666666,"Capitale, réputée pour son architecture moderne. (quartier-Sud)",Afrique,63.0,1,1,0,1,1896
Adélaïde-Est,Australie,1810,1,44.0,0.0,44,44,1.0,"Ville du sud, célèbre pour ses festivals et ses vignobles. (quartier-Est)",Océanie,73.0,1,0,0,0,1544
Agadir,Maroc,1031,1,19.0,0.0,19,19,1.0,"Ville balnéaire, connue pour ses plages et sa marina.",Maghreb,53.0,1,0,0,0,1460
Agadir-Est,Maroc,1733,3,27.0,6.0,21,33,0.3333333333333333,"Ville balnéaire, connue pour ses plages et sa marina. (quartier-Est)",Maghreb,68.0,1,0,0,0,1938
Agadir-Nord,Maroc,1265,2,48.0,0.0,48,48,0.0,"Ville balnéaire, connue pour ses plages et sa marina. (quartier-Nord)",Maghreb,69.0,1,0,0,0,1477
Agadir-Ouest,Maroc,1967,1,40.0,0.0,40,40,0.0,"Ville balnéaire, connue pour ses plages et sa marina. (quartier-Ouest)",Maghreb,70.0,1,0,0,0,1672
Ajman,Émirats arabes unis,1236,1,43.0,0.0,43,43,0.0,"Ville côtière, réputée pour ses plages et son calme.",Moyen_Orient,52.0,1,0,0,0,1219
Ajman-Est,Émirats arabes unis,1938,2,36.0,7.071067811865476,31,41,0.5,"Ville côtière, réputée pour ses plages et son calme. (quartier-Est)",Moyen_Orient,67.0,1,0,0,0,2241
Ajman-Sud,Émirats arabes unis,1704,1,19.0,0.0,19,19,0.0,"Ville côtière, réputée pour ses plages et son calme. (quartier-Sud)",Moyen_Orient,67.0,1,0,0,0,1933
Alexandrie-Est,Égypte,1797,1,39.0,0.0,39,39,1.0,"Ville portuaire, célèbre pour sa bibliothèque et son histoire antique. (quartier-Est)",Afrique,85.0,1,0,1,0,1580
Alexandrie-Nord,Égypte,1329,1,41.0,0.0,41,41,1.0,"Ville portuaire, célèbre pour sa bibliothèque et son histoire antique. (quartier-Nord)",Afrique,86.0,1,0,1,0,2121
Alexandrie-Sud,Égypte,1563,2,24.0,1.4142135623730951,23,25,0.5,"Ville portuaire, célèbre pour sa bibliothèque et son histoire antique. (quartier-Sud)",Afrique,85.0,1,0,1,0,1858
Alger-Nord,Algérie,1268,1,43.0,0.0,43,43,0.0,"Capitale algérienne, connue pour la Casbah et la baie d’Alger. (quartier-Nord)",Maghreb,78.0,0,1,0,0,1649
Amsterdam-Est,Pays-Bas,1866,1,29.0,0.0,29,29,0.0,"Capitale néerlandaise, connue pour ses canaux et ses musées. (quartier-Est)",Europe_Ouest,75.0,1,1,0,0,1693
Ankara,Turquie,1100,2,35.5,13.435028842544405,26,45,0.0,"Capitale turque, connue pour le mausolée d’Atatürk.",Moyen_Orient,51.0,0,1,0,0,1201
Ankara-Est,Turquie,1802,1,50.0,0.0,50,50,1.0,"Capitale turque, connue pour le mausolée d’Atatürk. (quartier-Est)",Moyen_Orient,66.0,0,1,0,0,1173
Ankara-Nord,Turquie,1334,1,57.0,0.0,57,57,0.0,"Capitale turque, connue pour le mausolée d’Atatürk. (quartier-Nord)",Moyen_Orient,67.0,0,1,0,0,1575
Ankara-Sud,Turquie,1568,1,45.0,0.0,45,45,1.0,"Capitale turque, connue pour le mausolée d’Atatürk. (quartier-Sud)",Moyen_Orient,66.0,0,1,0,0,1145
Annaba-Nord,Algérie,1271,1,30.0,0.0,30,30,1.0,"Ville côtière, connue pour la basilique Saint-Augustin. (quartier-Nord)",Maghreb,71.0,0,0,0,0,1001
Annaba-Ouest,Algérie,1973,3,46.66666666666666,18.82374387132733,25,59,0.0,"Ville côtière, connue pour la basilique Saint-Augustin. (quartier-Ouest)",Maghreb,72.0,0,0,0,0,1975
Annaba-Sud,Algérie,1505,2,28.5,7.7781745930520225,23,34,0.5,"Ville côtière, connue pour la basilique Saint-Augustin. (quartier-Sud)",Maghreb,70.0,0,0,0,0,1176
Antalya,Turquie,1102,2,24.5,9.192388155425116,18,31,1.0,"Ville balnéaire, célèbre pour ses plages et ses ruines antiques.",Moyen_Orient,64.0,1,0,0,0,1500
Antalya-Est,Turquie,1804,1,46.0,0.0,46,46,0.0,"Ville balnéaire, célèbre pour ses plages et ses ruines antiques. (quartier-Est)",Moyen_Orient,79.0,1,0,0,0,1849
Antofagasta,Chili,1128,2,29.0,9.899494936611664,22,36,0.0,"Ville minière, réputée pour ses paysages désertiques.",Amériques,53.0,1,0,0,0,1543
Anvers,Belgique,1170,3,28.33333333333333,7.234178138070235,20,33,0.6666666666666666,"Ville portuaire, réputée pour ses diamants et sa mode.",Europe_Ouest,54.0,1,0,0,0,1361
Anvers-Est,Belgique,1872,1,28.0,0.0,28,28,1.0,"Ville portuaire, réputée pour ses diamants et sa mode. (quartier-Est)",Europe_Ouest,69.0,1,0,0,0,1542
Anvers-Nord,Belgique,1404,1,48.0,0.0,48,48,0.0,"Ville portuaire, réputée pour ses diamants et sa mode. (quartier-Nord)",Europe_Ouest,70.0,1,0,0,0,2047
Ariana,Tunisie,1003,1,60.0,0.0,60,60,0.0,"Ville résidentielle au nord de Tunis, connue pour ses jardins et ses espaces verts.",Maghreb,83.0,0,0,0,0,1786
Ariana-Est,Tunisie,1705,2,49.0,12.727922061357855,40,58,0.5,"Ville résidentielle au nord de Tunis, connue pour ses jardins et ses espaces verts. (quartier-Est)",Maghreb,98.0,0,0,0,0,1740
Assouan,Égypte,1098,2,29.5,7.7781745930520225,24,35,0.0,"Ville du sud, connue pour son barrage et ses îles.",Afrique,50.0,0,0,0,0,1174
Assouan-Est,Égypte,1800,2,45.5,17.67766952966369,33,58,1.0,"Ville du sud, connue pour son barrage et ses îles. (quartier-Est)",Afrique,65.0,0,0,0,0,908
Assouan-Sud,Égypte,1566,3,25.666666666666668,6.8068592855540455,18,31,0.3333333333333333,"Ville du sud, connue pour son barrage et ses îles. (quartier-Sud)",Afrique,65.0,0,0,0,0,1460
Athènes,Grèce,1154,1,32.0,0.0,32,32,1.0,"Capitale grecque, connue pour l’Acropole et le Parthénon.",Europe_Sud,57.0,0,1,0,0,1351
Athènes-Est,Grèce,1856,1,44.0,0.0,44,44,0.0,"Capitale grecque, connue pour l’Acropole et le Parthénon. (quartier-Est)",Europe_Sud,72.0,0,1,0,0,1295
Athènes-Nord,Grèce,1388,1,43.0,0.0,43,43,0.0,"Capitale grecque, connue pour l’Acropole et le Parthénon. (quartier-Nord)",Europe_Sud,73.0,0,1,0,0,1529
Athènes-Sud,Grèce,1622,1,27.0,0.0,27,27,0.0,"Capitale grecque, connue pour l’Acropole et le Parthénon. (quartier-Sud)",Europe_Sud,72.0,0,1,0,0,1795
